koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
0,0,0,0,13.0313583,0.0001042,-0.0001042,144.11544,0.00662,-0.00662,0.813,0.142,-0.589,4.521,0.16,-0.16,573.3,31.8,-31.8,2.88,0.43,-0.4,774.0,84.94,34.0,-25.17,18.9,1.0,5514.0,74.0,-74.0,4.345,0.132,-0.108,1.071,0.163,-0.148,299.16953,43.44109,15.829,-0.08291980071244065,-0.035071452511985714,-0.2782884613522405,-0.30231684056249647
0,0,0,0,20.49041,0.0001751,-0.0001751,144.41979,0.00763,-0.00763,0.011,0.44,-0.011,4.369,0.17,-0.17,661.8,33.3,-33.3,2.34,0.67,-0.22,625.0,36.01,31.47,-10.47,23.3,1.0,5681.0,180.0,-200.0,4.524,0.036,-0.204,0.923,0.264,-0.088,296.18829,43.936852,15.93,-0.08335422422474541,-0.03507145261272395,-0.2768669523283764,-0.48682133953802487
0,0,1,1,5.71483873,3.463e-05,-3.463e-05,132.13046,0.00535,-0.00535,0.134,0.326,-0.134,2.748,0.148,-0.148,286.2,17.9,-17.9,1.26,0.18,-0.14,842.0,118.73,56.57,-33.59,18.0,1.0,5193.0,155.0,-139.0,4.535,0.09,-0.108,0.755,0.11,-0.08,299.78946,44.171001,14.167,-0.08580025654411418,-0.03507145298512515,-0.27959423974347375,-0.16998171472769666
0,0,0,0,8.11528727,1.34e-05,-1.34e-05,174.52257,0.00142,-0.00142,0.916,0.005,-0.631,3.211,0.1,-0.1,834.9,15.3,-15.3,3.1,0.9,-0.3,879.0,140.92,120.76,-39.2,59.1,1.0,5926.0,160.0,-178.0,4.532,0.036,-0.204,0.887,0.259,-0.086,288.21194,46.615002,15.219,-0.08064454571207506,-0.03507145176875747,-0.2706125093815072,-0.253936254106788
0,0,0,0,220.65651253,0.002147863706805708,-0.002147863706805708,172.4278591,0.009932560537870472,-0.009932560537870472,0.7351054776654712,1.9598606037321624,-0.3325574643249176,7.82,0.33994151372118553,-0.33994151372118553,23791.335898271922,123.19756311745333,-123.19756311745333,102.89177806760135,17.65768394739702,-33.02331377024236,1085.3858276274318,7745.737022611707,3750.6979097695553,-4043.5223682786964,259.8950005434192,1.24365372098069,5706.8232800782525,144.63555408970976,-162.2650589142165,4.310156613411586,0.12073790677220755,-0.14316051011433598,1.7287115530920552,0.36229221635883907,-0.39480595866314866,291.65009,42.700779,15.129,0.07753584009971617,-0.03506471111578519,-0.11027792022420924,0.0005146620184902588
0,0,0,0,10.55840479,8.566e-05,-8.566e-05,136.34449,0.00678,-0.00678,0.31,0.146,-0.31,3.366,0.18,-0.18,194.2,14.3,-14.3,1.41,0.2,-0.19,796.0,94.94,35.49,-28.09,14.6,3.0,5353.0,80.0,-72.0,4.358,0.137,-0.1,1.023,0.141,-0.141,293.35172,48.444641,14.531,-0.08662067156735548,-0.035071453050025014,-0.28227116482394654,-0.2516734681578592
0,0,0,0,22.786522,0.0004069,-0.0004069,153.2108,0.01,-0.01,0.3817,0.1079,-0.3816,2.197,0.388,-0.388,228.3,44.3,-44.3,1.45,0.44,-0.14,661.0,45.26,40.0,-12.59,7.9,2.0,6146.0,151.0,-193.0,4.497,0.045,-0.045,0.943,0.29,-0.089,294.00787,45.232689,15.382,-0.08617076914687055,-0.035071453017500524,-0.27960772656505894,-0.5018119887540838
1,0,0,0,22.52907,0.0003496,-0.0003496,142.2496,0.0139,-0.0139,0.3668,0.1449,-0.3668,1.373,0.388,-0.388,327.1,90.9,-90.9,1.39,0.34,-0.1,532.0,18.89,14.22,-4.44,4.8,1.0,5284.0,175.0,-141.0,4.594,0.028,-0.149,0.769,0.185,-0.059,289.76526,43.432331,15.607,-0.08540873847013924,-0.03507145294491394,-0.271867304488352,-0.5435604043417775
0,0,1,1,0.790049989,8.345e-06,-8.345e-06,132.11148,0.00886,-0.00886,0.185,0.287,-0.185,2.794,0.308,-0.308,70.8,7.0,-7.0,0.67,0.13,-0.06,1724.0,2082.67,1190.0,-580.89,12.3,1.0,5427.0,162.0,-162.0,4.53,0.063,-0.117,0.808,0.147,-0.079,292.53809,41.206612,15.53,-0.08817098590483162,-0.03507145311551743,-0.28413561157577705,0.7753890903058589
1,0,1,1,0.530967987,1.921e-06,-1.921e-06,131.72336,0.0035,-0.0035,0.093,0.387,-0.093,1.812,0.107,-0.107,26.9,1.3,-1.3,1.08,0.31,-0.2,4196.0,73103.16,61299.22,-33623.61,24.1,1.0,8473.0,237.0,-407.0,4.123,0.112,-0.168,2.052,0.581,-0.388,288.85028,44.596939,12.717,-0.08902617719977199,-0.035071453129086425,-0.2847403640177369,1.8546040982801957
