koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_period_err1,koi_period_err2,koi_time0bk,koi_time0bk_err1,koi_time0bk_err2,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_duration_err2,koi_depth,koi_depth_err1,koi_depth_err2,koi_prad,koi_prad_err1,koi_prad_err2,koi_teq,koi_insol,koi_insol_err1,koi_insol_err2,koi_model_snr,koi_tce_plnt_num,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_slogg_err2,koi_srad,koi_srad_err1,koi_srad_err2,ra,dec,koi_kepmag,planet_star_radius_ratio,planet_star_volume_ratio,transit_density_proxy,temp_ratio_planet_star
0,0,0,0,11.374442708,1.237e-06,-1.237e-06,142.4558524,8.35e-05,-8.35e-05,0.978,0.362,-0.008,2.30694,0.00289,-0.00289,27905.0,31.4,-31.4,22.86,3.45,-2.01,687.0,52.84,25.96,-13.43,643.6,1.0,5297.0,159.0,-143.0,4.546,0.052,-0.097,0.808,0.122,-0.071,296.32794,46.83963,14.585,-0.010631802709173592,-0.035070729014507286,0.41144778999108234,-0.36719714802147185
0,0,1,1,1.33256944,1.288e-05,-1.288e-05,132.05502,0.0069,-0.0069,0.456,0.006,-0.456,3.89,0.258,-0.258,20.6,1.4,-1.4,0.46,0.08,-0.06,1624.0,1636.72,898.42,-512.7,18.8,1.0,5655.0,137.0,-154.0,4.431,0.088,-0.132,0.998,0.186,-0.124,295.13477,46.76965,12.496,-0.08921081168642847,-0.03507145313061713,-0.2852906780022368,0.5900500727777006
0,0,1,0,2.131225773,1.639e-06,-1.639e-06,133.29978,0.000658,-0.000658,1.264,0.618,-0.032,5.4932,0.0354,-0.0354,2337.1,13.4,-13.4,35.68,10.06,-6.22,1555.0,1382.47,1189.02,-564.59,215.6,1.0,6181.0,194.0,-216.0,4.38,0.128,-0.192,1.028,0.29,-0.179,300.39902,45.521111,14.818,0.007483511150594812,-0.03507011619754205,-0.26107890913864207,0.37364645261171087
0,1,1,1,16.2276756,0.0001344,-0.0001344,136.62586,0.0071,-0.0071,0.633,0.317,-0.413,3.699,0.221,-0.221,525.8,31.9,-31.9,2.11,0.45,-0.3,648.0,41.57,29.51,-15.04,20.5,1.0,5328.0,204.0,-185.0,4.447,0.13,-0.174,0.883,0.188,-0.126,297.18564,46.825298,15.388,-0.08376539951302289,-0.035071452697452724,-0.2774045852295183,-0.4162767760841022
0,1,1,1,5.93720557,1.538e-05,-1.538e-05,171.57597,0.00227,-0.00227,0.976,0.012,-0.006,4.882,0.171,-0.171,371.4,11.2,-11.2,1.84,0.32,-0.1,894.0,150.81,80.47,-30.75,59.9,1.0,5857.0,158.0,-158.0,4.633,0.032,-0.128,0.712,0.124,-0.041,289.1702,50.627621,13.799,-0.08321571183607711,-0.03507145258188815,-0.2812119639913301,-0.22774763190651365
0,0,0,0,45.60304785,0.002147863706805708,-0.002147863706805708,171.32001,0.009932560537870472,-0.009932560537870472,0.7351054776654712,1.9598606037321624,-0.3325574643249176,8.35,0.33994151372118553,-0.33994151372118553,23791.335898271922,123.19756311745333,-123.19756311745333,102.89177806760135,17.65768394739702,-33.02331377024236,1085.3858276274318,7745.737022611707,3750.6979097695553,-4043.5223682786964,259.8950005434192,1.24365372098069,5706.8232800782525,144.63555408970976,-162.2650589142165,4.310156613411586,0.12073790677220755,-0.14316051011433598,1.7287115530920552,0.36229221635883907,-0.39480595866314866,293.69742,39.036388,15.206,0.07753584009971617,-0.03506471111578519,-0.12140588405709328,0.0005146620184902588
1,0,0,0,7.05185637,0.002147863706805708,-0.002147863706805708,133.3669015,0.009932560537870472,-0.009932560537870472,0.7351054776654712,1.9598606037321624,-0.3325574643249176,3.69,0.33994151372118553,-0.33994151372118553,23791.335898271922,123.19756311745333,-123.19756311745333,102.89177806760135,17.65768394739702,-33.02331377024236,1085.3858276274318,7745.737022611707,3750.6979097695553,-4043.5223682786964,259.8950005434192,1.24365372098069,5706.8232800782525,144.63555408970976,-162.2650589142165,4.310156613411586,0.12073790677220755,-0.14316051011433598,1.7287115530920552,0.36229221635883907,-0.39480595866314866,289.73972,44.647419,11.665,0.07753584009971617,-0.03506471111578519,0.08594511846215565,0.0005146620184902588
0,0,0,0,11.32977062,6.773e-05,-6.773e-05,133.96755,0.00529,-0.00529,0.036,0.431,-0.036,3.845,0.157,-0.157,162.4,9.5,-9.5,1.37,0.21,-0.18,855.0,126.21,52.29,-39.06,18.5,3.0,5821.0,105.0,-117.0,4.355,0.121,-0.11,1.085,0.16,-0.146,297.09,41.388031,13.989,-0.08694713304604058,-0.035071453069377576,-0.28316193434165116,-0.2627342319246075
0,0,1,0,5.97581754,1.118e-05,-1.118e-05,174.77602,0.00137,-0.00137,0.941,0.017,-0.618,3.065,0.185,-0.185,962.4,23.5,-23.5,3.86,1.32,-0.44,1047.0,284.25,295.54,-90.93,50.3,1.0,6108.0,193.0,-214.0,4.471,0.054,-0.216,0.997,0.341,-0.114,294.22397,40.417858,15.546,-0.0795809974309645,-0.03507145127811591,-0.267501641616896,-0.11361553568803297
0,0,0,0,38.6715843,0.0002103,-0.0002103,157.61988,0.00482,-0.00482,0.773,0.143,-0.532,5.532,0.148,-0.148,599.3,26.8,-26.8,2.45,0.83,-0.38,502.0,15.03,15.04,-5.49,25.2,1.0,5432.0,159.0,-159.0,4.42,0.147,-0.273,0.913,0.306,-0.141,299.96567,44.160889,14.94,-0.08293565283335895,-0.03507145251587212,-0.2793530852560274,-0.5938043659565698
