ra,dec,st_pmra,st_pmraerr1,st_pmraerr2,st_pmralim,st_pmdec,st_pmdecerr1,st_pmdecerr2,st_pmdeclim,pl_tranmid,pl_tranmiderr1,pl_tranmiderr2,pl_tranmidlim,pl_orbper,pl_orbpererr1,pl_orbpererr2,pl_orbperlim,pl_trandurh,pl_trandurherr1,pl_trandurherr2,pl_trandurhlim,pl_trandep,pl_trandeperr1,pl_trandeperr2,pl_trandeplim,pl_rade,pl_radeerr1,pl_radeerr2,pl_radelim,pl_insol,pl_eqt,st_tmag,st_tmagerr1,st_tmagerr2,st_tmaglim,st_dist,st_disterr1,st_disterr2,st_distlim,st_teff,st_tefferr1,st_tefferr2,st_tefflim,st_logg,st_loggerr1,st_loggerr2,st_logglim,st_rad,st_raderr1,st_raderr2,st_radlim
143.46695,-55.175763,-12.167,0.048,-0.048,0.0,3.727,0.049,-0.049,0.0,2458545.26565,0.01211,-0.01211,0,1.79988,0.00056,-0.00056,0,3.518,0.564,-0.564,0,180.0,0.452551,-0.452551,0,3.32197,0.225957,-0.225957,0,6540.68,2505.0,9.0607,0.006,-0.006,0,258.885,1.9515,-1.9515,0,6136.9,97.0,-97.0,0,3.85,0.42,-0.42,0,2.46,0.1,-0.1,0
341.011708,49.687459,8.696,2.132,-2.132,0.0,12.895,2.132,-2.132,0.0,2460569.248825,0.002371,-0.002371,0,3.424993,8.2e-06,-8.2e-06,0,2.134,0.238,-0.238,0,6276.0,364.587,-364.587,0,10.042358339571056,1.379436464048041,-1.379436464048041,0,2288.375158344314,1275.9602083987463,13.3724,0.01,-0.01,0,863.955,20.790227947403686,-20.790227947403686,0,5789.102696506549,203.6399505663094,-203.6399505663094,0,4.304553584840654,0.16460809853794883,-0.16460809853794883,0,1.4113421853774357,0.0740639963527715,-0.0740639963527715,0
90.662482,-64.819484,-3.606,2.124,-2.124,0.0,14.96,2.074,-2.074,0.0,2459387.893848,0.000373,-0.000373,0,4.4531846,2.7e-06,-2.7e-06,0,1.687,0.13,-0.13,0,5910.0,1.0276,-1.0276,0,10.042358339571056,1.379436464048041,-1.379436464048041,0,184.842,1027.0,11.6349,0.006,-0.006,0,310.951,158.505,-158.505,0,5766.0,158.9,-158.9,0,4.304553584840654,0.16460809853794883,-0.16460809853794883,0,1.4113421853774357,0.0740639963527715,-0.0740639963527715,0
82.349235,-23.761849,13.963,0.025,-0.025,0.0,-14.174,0.026,-0.026,0.0,2459196.318036,0.000915,-0.000915,0,10.7448417,1.66e-05,-1.66e-05,0,3.298,0.117,-0.117,0,38070.0,12.2037,-12.2037,0,11.9772,1.379436464048041,-1.379436464048041,0,24.4016,619.0,13.3942,0.006,-0.006,0,278.402,1.314,-1.314,0,4701.0,122.0,-122.0,0,4.72,0.16460809853794883,-0.16460809853794883,0,0.63,0.0740639963527715,-0.0740639963527715,0
138.098314,-33.256815,-4.73,0.022,-0.022,0.0,-4.949,0.031,-0.031,0.0,2459276.822863,0.000962,-0.000962,0,2.5087868,4.2e-06,-4.2e-06,0,2.529,0.114,-0.114,0,15750.0,4.56901,-4.56901,0,12.9918,0.652896,-0.652896,0,922.499,1535.0,12.7435,0.006,-0.006,0,513.6,5.021,-5.021,0,6255.0,135.8,-135.8,0,4.52,0.09,-0.09,0,1.01,0.05,-0.05,0
266.962207,83.428826,0.631,0.116,-0.116,0.0,34.935,0.171,-0.171,0.0,2460331.315598,0.003851,-0.003851,0,10.9278415,6.02e-05,-6.02e-05,0,2.468,0.713,-0.713,0,2743.0,5988.19,-5988.19,0,49.1695,6.71322,-6.71322,0,270.142,1129.0,8.36544,0.006,-0.006,0,218.258,3.317,-3.317,0,6259.0,130.9,-130.9,0,3.59,0.09,-0.09,0,2.92,0.14,-0.14,0
326.305217,45.812547,-4.045,0.057,-0.057,0.0,-4.784,0.057,-0.057,0.0,2458712.05324,0.00122,-0.00122,0,1.99143,8e-05,-8e-05,0,4.136,0.071,-0.071,0,16745.8,646.568,-646.568,0,10.042358339571056,1.379436464048041,-1.379436464048041,0,108701.0,5058.0,10.1441,0.009,-0.009,0,4984.88,921.355,-921.355,0,9458.2,455.4,-455.4,0,4.304553584840654,0.16460809853794883,-0.16460809853794883,0,1.4113421853774357,0.0740639963527715,-0.0740639963527715,0
277.622837,56.770452,-3.878,0.029,-0.029,0.0,-12.609,0.029,-0.029,0.0,2459764.28652,0.002798,-0.002798,0,2.5089892,9.2e-06,-9.2e-06,0,2.341,0.234,-0.234,0,2970.0,2.21766,-2.21766,0,5.46523,1.379436464048041,-1.379436464048041,0,609.961,1384.0,13.2338,0.007,-0.007,0,571.615,4.45,-4.45,0,5574.0,122.0,-122.0,0,4.44,0.16460809853794883,-0.16460809853794883,0,0.99,0.0740639963527715,-0.0740639963527715,0
45.148251,39.93511,10.431,0.05,-0.05,0.0,-10.109,0.043,-0.043,0.0,2459902.81919,0.000563,-0.000563,0,4.084447,3.4e-06,-3.4e-06,0,1.829,0.086,-0.086,0,20681.0,595.309,-595.309,0,14.1047,0.815883,-0.815883,0,101.257,883.0,12.5822,0.008,-0.008,0,379.963,5.888,-5.888,0,5458.0,131.5,-131.5,0,4.45,0.08,-0.08,0,0.96,0.05,-0.05,0
142.378244,50.963802,-67.76,0.048,-0.048,0.0,-196.425,0.05,-0.05,0.0,2458891.862067,0.000669,-0.000669,0,711.7642825,8.54e-05,-8.54e-05,0,3.4176443,0.0462834,-0.0462834,0,20978.1367866,398.79102,-398.79102,0,12.6338972,1.1483275,-1.1483275,0,2.4542117,319.2256315,10.5295,0.006,-0.006,0,85.5353,0.235,-0.235,0,4661.56,137.074,-137.074,0,4.57751,0.104786,-0.104786,0,0.732648,0.0592965,-0.0592965,0
